value,organisation
http://opendatacommunities.org/id/geography/administration/ua/E06000114,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000115,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000116,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000117,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000118,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000119,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000120,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000121,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000122,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000123,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000124,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000125,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000126,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000127,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000128,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000129,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000130,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000131,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000132,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000132,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000132,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000132,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000133,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000134,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000135,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000136,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000137,local-authority-eng:CHE
http://opendatacommunities.org/id/geography/administration/ua/E06000138,local-authority-eng:CHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000242,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000243,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000247,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000248,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000249,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000250,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000251,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000252,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000253,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000254,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000255,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000256,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000257,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000258,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000259,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000260,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000261,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000262,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000263,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000264,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000265,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000266,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000267,local-authority-eng:EHE
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000268,local-authority-eng:EHE
St Edmundsbury,local-authority-eng:SED
West Suffolk,local-authority-eng:WSK
Wigan Council,local-authority-eng:WGN
www.liverpool.gov.uk,local-authority-eng:LIV
Forest Heath,local-authority-eng:FOR
Maidstone E07000110,local-authority-eng:MAI
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",local-authority-eng:STE
"South Norfolk",local-authority-eng:SNO
